cve_ent;entidad;hombres alfabetas;hombres analfabetas;hombres no especificado;Total Hombres;mujeres alfabetas;mujeres analfabetas;mujeres no especificado;Total Mujeres;Total general;pob_total;pob_hombres;pob_mujeres
01;Aguascalientes;489668;10146;703;500517;525759;11762;866;538387;1038904;1425607;696683;728924
02;Baja California;1418775;24055;7338;1450168;1398826;28441;5063;1432330;2882498;3769020;1900589;1868431
03;Baja California Sur;296759;6612;699;304070;285397;7314;771;293482;597552;798447;405879;392568
04;Campeche;314725;17071;505;332301;327279;22915;456;350650;682951;928363;456939;471424
05;Coahuila de Zaragoza;1119207;19106;3752;1142065;1150633;19500;4134;1174267;2316332;3146771;1563669;1583102
06;Colima;261898;9270;349;271517;274886;9464;405;284755;556272;731391;360622;370769
07;Chiapas;1607146;190134;1983;1799263;1622430;322586;1629;1946645;3745908;5543828;2705947;2837881
08;Chihuahua;1332785;35034;3783;1371602;1378051;38189;4065;1420305;2791907;3741869;1853822;1888047
09;Ciudad de México;3504818;33679;23350;3561847;3903295;73765;8638;3985698;7547545;9209944;4404927;4805017
10;Durango;622460;17587;1582;641629;654432;18192;1318;673942;1315571;1832650;904866;927784
11;Guanajuato;2059926;97718;3954;2161598;2212186;141120;4289;2357595;4519193;6166934;2996454;3170480
12;Guerrero;1047996;121340;1352;1170688;1130014;188987;1618;1320619;2491307;3540685;1700612;1840073
13;Hidalgo;1020776;57800;1382;1079958;1113074;93511;1674;1208259;2288217;3082841;1481379;1601462
14;Jalisco;2917323;83259;5317;3005899;3085801;95755;5656;3187212;6193111;8348151;4098455;4249696
15;México;6023834;124063;14645;6162542;6434306;248391;16885;6699582;12862124;16992418;8251295;8741123
16;Michoacán de Ocampo;1535760;109260;3436;1648456;1661682;133079;3775;1798536;3446992;4748846;2306341;2442505
17;Morelos;684475;27016;1189;712680;748294;39647;1400;789341;1502021;1971520;950847;1020673
18;Nayarit;423079;19633;666;443378;438421;20831;780;460032;903410;1235456;612278;623178
19;Nuevo León;2142629;29047;9335;2181011;2158624;34933;10294;2203851;4384862;5784442;2890950;2893492
20;Oaxaca;1266674;123655;1456;1391785;1354590;227856;1555;1584001;2975786;4132148;1974843;2157305
21;Puebla;2133109;121403;2474;2256986;2323887;212776;3254;2539917;4796903;6583278;3160115;3423163
22;Querétaro;834300;22296;1496;858092;878850;39438;1800;920088;1778180;2368467;1156820;1211647
23;Quintana Roo;674806;17160;2069;694035;658493;25064;1971;685528;1379563;1857985;936779;921206
24;San Luis Potosí;955759;46200;1971;1003930;1028950;58594;2401;1089945;2093875;2822255;1372451;1449804
25;Sinaloa;1068810;43266;1264;1113340;1125379;37632;1463;1164474;2277814;3026943;1494815;1532128
26;Sonora;1077413;22800;2623;1102836;1091278;21334;2820;1115432;2218268;2944840;1472197;1472643
27;Tabasco;804759;35741;872;841372;852675;53115;927;906717;1748089;2402598;1173671;1228927
28;Tamaulipas;1256561;31387;3015;1290963;1319488;36809;3284;1359581;2650544;3527735;1736140;1791595
29;Tlaxcala;450837;11882;639;463358;489274;20731;773;510778;974136;1342977;649894;693083
30;Veracruz de Ignacio de la Llave;2667431;206664;2844;2876939;2907018;311134;3115;3221267;6098206;8062579;3871774;4190805
31;Yucatán;813906;44009;1398;859313;843200;61695;1629;906524;1765837;2320898;1140279;1180619
32;Zacatecas;536348;20946;931;558225;579499;22632;1120;603251;1161476;1622138;791058;831080
