cve_ent;entidad;ue_total;total personal ocupado;po_hombres;po_mujeres;po_total;pob_hombres_conapo;pob_mujeres_conapo;pob_total_conapo
0;total nacional;6373168.51;36038271.54;20234377.61;15803893.94;36038271.55;62015095;64594814;126609909
1;Aguascalientes;67313.5776;487086.8072;280621.6281;206465.1791;487086.8072;699325;725262;1424587
2;Baja California;127075.2263;1246117.564;714835.9955;531281.5685;1246117.564;1879934;1841103;3721037
3;Baja California Sur;37718.129;298218.0489;178079.505;120138.5439;298218.0489;402602;386396;788998
4;Campeche;50886.0057;292367.0668;170084.6959;122282.3709;292367.0668;461809;472571;934380
5;Coahuila de Zaragoza;117978.8234;1162638.323;712665.4118;449972.9114;1162638.323;1568603;1575744;3144347
6;Colima;41278.8473;247980.6995;135907.264;112073.4355;247980.6995;366095;372823;738918
7;Chiapas;304825.1262;1055904.821;578519.6304;477385.1904;1055904.821;2754943;2861113;5616056
8;Chihuahua;133240.2826;1279444.012;723676.7597;555767.2521;1279444.012;1867409;1888329;3755738
9;Ciudad de México;459651;4950851;2849106;2101745;4950851;4471799;4848929;9320728
10;Durango;88534.7353;486940.0412;279641.7104;207298.3308;486940.0412;911243;928847;1840090
11;Guanajuato;314325.6909;1720749.493;967042.2333;753707.2596;1720749.493;3015888;3170060;6185948
12;Guerrero;244355.328;822393.3887;403870.0768;418523.3119;822393.3887;1743190;1865092;3608282
13;Hidalgo;180358.9907;691873.2683;367067.0413;324806.227;691873.2683;1483832;1590514;3074346
14;Jalisco;397119.4996;2433361.554;1377245.381;1056116.173;2433361.554;4128467;4245957;8374424
15;México;767546.9989;3346380.534;1836476.274;1509904.26;3346380.534;8326746;8747454;17074200
16;Michoacán de Ocampo;311008.2679;1141333.493;601634.948;539698.5451;1141333.493;2331252;2453234;4784486
17;Morelos;121094.4909;509484.0184;266555.676;242928.3424;509484.0184;962162;1024545;1986707
18;Nayarit;75926.8291;355679.8552;185894.0303;169785.8249;355679.8552;615163;620218;1235381
19;Nuevo León;180143.1656;2039700.789;1266063.092;773637.6971;2039700.789;2870853;2853668;5724521
20;Oaxaca;318594.8583;985203.6406;491639.4667;493564.1739;985203.6406;1999647;2166132;4165779
21;Puebla;405110.7023;1548692.816;839518.8104;709174.0051;1548692.816;3179382;3418194;6597576
22;Querétaro;115532.4701;853476.7368;483159.8611;370316.8757;853476.7368;1144518;1187227;2331745
23;Quintana Roo;70224.9837;618179.1086;357568.9458;260610.1628;618179.1086;912233;891829;1804062
24;San Luis Potosí;148766.7692;786204.874;434900.2972;351304.5768;786204.874;1390262;1456266;2846528
25;Sinaloa;137582.9579;857005.3333;484895.9658;372109.3675;857005.3333;1518414;1542524;3060938
26;Sonora;123700.6894;983912.2717;568781.7161;415130.5556;983912.2717;1489050;1482115;2971165
27;Tabasco;128327.156;595282.032;342820.1108;252461.9212;595282.032;1199968;1243702;2443670
28;Tamaulipas;141176.6193;1061028.103;607366.5492;453661.554;1061028.103;1763368;1802386;3565754
29;Tlaxcala;89075.6527;334495.27;173457.1168;161038.1532;334495.27;657234;694407;1351641
30;Veracruz de Ignacio de la Llave;438213.6053;1701915.152;921395.2836;780519.868;1701915.152;3960114;4236228;8196342
31;Yucatán;142976.8571;727591.9655;401081.8853;326510.0802;727591.9655;1137015;1167760;2304775
32;Zacatecas;93504.174;416779.4611;232804.2435;183975.2176;416779.4611;802575;834185;1636760
