cve_ent;entidad federativa;ue_total;total personal ocupado;po_hombres;po_mujeres;pob_hombres_conapo;pob_mujeres_conapo;pob_total_conapo
00;total nacional;5144056;27727406;15956133;11771273;54778712;57373924;112152636
01;Aguascalientes;54186;330380;192123;138257;570556;602511;1173067
02;Baja California;98615;847571;478486;369085;1566156;1535658;3101814
03;Baja California Sur;30438;212099;129892;82207;311521;297354;608875
04;Campeche;45500;264744;166654;98090;407138;413445;820583
05;Coahuila de Zaragoza;106118;767528;486706;280822;1356355;1373659;2730014
06;Colima;33020;184395;104154;80241;315948;321108;637056
07;Chiapas;226540;790556;459561;330995;2351656;2433254;4784910
08;Chihuahua;119078;983878;576346;407532;1699406;1717245;3416651
09;Ciudad de México;414335;4141735;2436327;1705408;4321193;4706161;9027354
10;Durango;72538;368503;214505;153998;806523;832686;1639209
11;Guanajuato;244598;1196029;678548;517481;2605227;2818872;5424099
12;Guerrero;200273;705363;361635;343728;1649005;1750590;3399595
13;Hidalgo;137077;565243;307560;257683;1265591;1359696;2625287
14;Jalisco;330787;1870284;1072225;798059;3587972;3747858;7335830
15;México;585292;2618331;1498780;1119551;7413835;7772706;15186541
16;Michoacán de Ocampo;247749;905845;489205;416640;2092499;2249666;4342165
17;Morelos;100929;429563;228811;200752;850576;911424;1762000
18;Nayarit;59978;261606;143528;118078;531168;535746;1066914
19;Nuevo León;160754;1461379;919410;541969;2303371;2311915;4615286
20;Oaxaca;236465;761253;403953;357300;1829638;1989109;3818747
21;Puebla;309157;1179423;644523;534900;2794378;3027815;5822193
22;Querétaro;78942;505947;287609;218338;871769;924152;1795921
23;Quintana Roo;54181;407860;246969;160891;649328;626910;1276238
24;San Luis Potosí;123479;588424;329793;258631;1264584;1330591;2595175
25;Sinaloa;120734;648079;376269;271810;1384129;1397570;2781699
26;Sonora;107723;738403;435827;302576;1322413;1307148;2629561
27;Tabasco;90931;487633;305450;182183;1088019;1122490;2210509
28;Tamaulipas;134898;888681;519500;369181;1610079;1644622;3254701
29;Tlaxcala;66309;257302;136443;120859;566531;602346;1168877
30;Veracruz de Ignacio de la Llave;364124;1492000;834616;657384;3703879;3956133;7660012
31;Yucatán;113848;564815;323815;241000;963298;988430;1951728
32;Zacatecas;75460;302554;166910;135644;724971;765054;1490025
